p_hex8,d_hex8,ride_count
883c029939fffff,883c029921fffff,17
883cf13949fffff,883cf10c97fffff,17
883cf13965fffff,883cf1394dfffff,17
883c029939fffff,883c029827fffff,17
883c029939fffff,883c029907fffff,17
883c029939fffff,883c029865fffff,17
883c029907fffff,883c02d6d9fffff,17
883c02d6dbfffff,883c02d6d1fffff,17
883c02983dfffff,883c029823fffff,17
883c02d6d7fffff,883c02d699fffff,17
883c02d6d9fffff,883c02991dfffff,17
883c02d6d7fffff,883c02d6d9fffff,17
883c02d6d9fffff,883c029933fffff,17
883c02d6d9fffff,883c02993dfffff,17
883c029951fffff,883c029957fffff,17
883c029953fffff,883c02991dfffff,17
883cf105b7fffff,883cf10ca5fffff,17
883cf105b7fffff,883cf13949fffff,17
883cf17655fffff,883cf13b25fffff,17
883c02991dfffff,883c029919fffff,17
883c029917fffff,883c029917fffff,17
883c02d6dbfffff,883c02d6d9fffff,17
883c02991bfffff,883c029913fffff,17
883c029907fffff,883c029901fffff,17
883c02d6d3fffff,883c0299a9fffff,17
883c02d6c5fffff,883c02d6c1fffff,17
883cf10cc5fffff,883cf10c97fffff,17
883c02993dfffff,883c029901fffff,17
883c0299a9fffff,883c02d6d1fffff,16
883cf13b25fffff,883cf1396dfffff,16
883c0299cdfffff,883c029939fffff,16
883c0299cdfffff,883c029915fffff,16
883c0299cdfffff,883c029823fffff,16
883c0299e5fffff,883c0299a9fffff,16
883cf13b21fffff,883cf105b9fffff,16
883cf17645fffff,883cf17615fffff,16
883cf17649fffff,883cf13b21fffff,16
883c029915fffff,883c0299a9fffff,16
883cf13969fffff,883cf13b21fffff,16
883cf13b03fffff,883cf13965fffff,16
883c0299e9fffff,883c0299edfffff,16
883c029935fffff,883c0299e5fffff,16
883c029913fffff,883c029939fffff,16
883cf13b03fffff,883cf10595fffff,16
883cf13b03fffff,883cf10cb5fffff,16
883cf13b25fffff,883cf10ca3fffff,16
883c0299a9fffff,883c02991dfffff,16
883c0299e7fffff,883c029939fffff,16
883c029935fffff,883c0299edfffff,16
883cf13b03fffff,883cf10cd1fffff,16
883c029915fffff,883c029911fffff,16
883c0299d5fffff,883c0299c7fffff,16
883c0299d1fffff,883c029989fffff,16
883c029903fffff,883c02982dfffff,16
883cf13b39fffff,883cf10c97fffff,16
883c0299c7fffff,883c0299c7fffff,16
883c0299c5fffff,883c0299e9fffff,16
883c029915fffff,883c029933fffff,16
883cf13b25fffff,883cf17615fffff,16
883c029915fffff,883c02993bfffff,16
883c029989fffff,883c0299a9fffff,16
883c029b3bfffff,883c029953fffff,16
883c029939fffff,883c029909fffff,16
883c029939fffff,883c029919fffff,16
883cf13963fffff,883cf10cbdfffff,16
883c029823fffff,883c029951fffff,16
883c0299a3fffff,883c02d699fffff,16
883c029989fffff,883c02999dfffff,16
883cf13969fffff,883cf10ca7fffff,16
883cf13965fffff,883cf13945fffff,16
883c029957fffff,883c02993bfffff,16
883cf10ce3fffff,883cf10cbdfffff,16
883cf10ce3fffff,883cf13945fffff,16
883c02993bfffff,883c029967fffff,16
883cf10eb1fffff,883cf105b7fffff,16
883cf10ce9fffff,883cf13b25fffff,16
883c02990dfffff,883c02991dfffff,16
883cf10ce3fffff,883cf10c93fffff,16
883c02d6c1fffff,883c02d6c3fffff,16
883cf13961fffff,883cf10c93fffff,16
883cf1394dfffff,883cf17659fffff,16
883cf13941fffff,883cf13b25fffff,16
883cf13905fffff,883cf13b27fffff,16
883c02995bfffff,883c029903fffff,16
883c02995bfffff,883c02990bfffff,16
883c029903fffff,883c02d6c3fffff,16
883c02996bfffff,883c029903fffff,16
883c029967fffff,883c029939fffff,16
883c029903fffff,883c02d689fffff,16
883c02996bfffff,883c029907fffff,16
883cf13905fffff,883cf13b07fffff,16
883c029939fffff,883c029937fffff,16
883c029911fffff,883c02991bfffff,16
883c02d699fffff,883c02d6d9fffff,16
883c029911fffff,883c029913fffff,16
883cf13949fffff,883cf13b25fffff,16
883cf1394dfffff,883cf10cb5fffff,16
883cf1394dfffff,883cf10eb3fffff,16
883cf1394dfffff,883cf17657fffff,16
883c02995bfffff,883c029955fffff,16
883c029903fffff,883c0299ebfffff,16
883c029903fffff,883c029b33fffff,16
883c02998bfffff,883c02999dfffff,16
883c02998bfffff,883c0299c7fffff,16
883c02998dfffff,883c0299c7fffff,16
883cf10c97fffff,883cf17655fffff,16
883c029955fffff,883c029939fffff,16
883c02993dfffff,883c02d6d1fffff,16
883c02d6d1fffff,883c0299a9fffff,16
883c02d6d3fffff,883c0299adfffff,16
883c02d6cdfffff,883c02d6c1fffff,16
883c02995bfffff,883c029867fffff,16
883c02d6cbfffff,883c029935fffff,16
883c02982dfffff,883c029821fffff,16
883cf10ca3fffff,883cf1394dfffff,16
883cf10ca3fffff,883cf17659fffff,16
883cf10ca5fffff,883cf17619fffff,16
