Pickup Area,"Popular Pickup Lat,Lon",Destination,"Popular Destination Lat, Lon",OSRM_distance_km_car,OSRM_distance_km_bike,diff_car,diff_bike
Abul Hotel,"23.754778817124492, 90.41540918143296",Monipuripara,"23.761551705506246, 90.38597592588681",5.55,5.57,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Motijheel,"23.73295803071134, 90.41707926909248",4.2,4.2,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Nakhalpara,"23.770702222003415, 90.39587895540527",5.39,5.39,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Narinda,"23.710683127844753, 90.4205271484302",7.65,7.65,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Naya Paltan,"23.73459027801036, 90.41371487931436",4.54,4.54,,
Abul Hotel,"23.754778817124492, 90.41540918143296",New market,"23.733306698256296, 90.38374538295768",7.87,7.87,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Niketan,"23.773793555853857, 90.41078375783205",5.82,5.82,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Nikunja 2,"23.83279861213574, 90.4167626340228",12.75,12.75,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Nilkhet,"23.733133076092567, 90.3850766157467",7.22,7.22,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Noor jahan Road,"23.760621916497936, 90.36176280206402",8.96,8.45,,
Abul Hotel,"23.754778817124492, 90.41540918143296",North South University,"23.815277538796973, 90.42547076424017",10.63,10.63,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Notun Bazar,"23.79749348795045, 90.4237139801499",5.66,5.66,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Nurer Chala,"23.79698754317488, 90.43246902253573",7.04,7.04,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Osmani Udyan,"23.726089169424984, 90.40874238698586",5.52,5.52,,
Abul Hotel,"23.754778817124492, 90.41540918143296",PG Hospital,"23.73895782109403, 90.39362466608887",6.12,6.12,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Police Plaza,"23.774242477535278, 90.41598794811036",3.65,3.65,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Press Club,"23.709590036781186, 90.42796922218056",7.96,7.99,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Puran Dhaka,"23.722455864933664, 90.38776863791101",7.31,7.31,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Ramna,"23.73741269764707, 90.40144483378396",5.35,5.35,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Sadarghat,"23.704920230821113, 90.41629392880428",8.02,8.02,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Sayedabad Bus Terminal,"23.715618121965, 90.42757510973425",7.84,7.84,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Science Lab,"23.739527493939022, 90.38380909504045",5.76,5.76,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Secretariat,"23.728543737583582, 90.39658276608853",5.87,5.87,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Shahbagh,"23.73926923300087, 90.39551308288586",5.55,5.55,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Shahjadpur,"23.791699886032266, 90.42491413547074",6.32,6.32,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Shakhari Bazar,"23.710126004019056, 90.40968349492377",7.71,7.71,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Shanir Akhra,"23.699506380859372, 90.45290987467429",12.12,10.92,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Shankar,"23.750878640826883, 90.36846011026877",7.12,7.12,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Shapla Chattar,"23.726744038603808, 90.42164096026795",5.09,5.09,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Shegunbagicha,"23.73366168283537, 90.40729600827689",4.15,4.15,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Sher-e-Bangla Agricultural University,"23.771809817829016, 90.37501155074635",8.26,8.26,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Shewrapara,"23.79094369753041, 90.37486012421229",9.17,9.17,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Shishu Hospital,"23.774720021541565, 90.3696989138121",10.57,10.57,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Shyamoli,"23.77090557917849, 90.36384806528564",8.68,8.68,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Shyamoli Square,"23.77483882749372, 90.36544631026956",9.45,9.45,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Square Hospital,"23.75311200932124, 90.381378314238",5.26,5.26,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Star Kabab Dhanmondi,"23.739915584940274, 90.38151538972964",6.99,6.99,,
